Length,Width,Freq [GHz],S11,S21,,,,,,,,
120,21,9.4,-26.98302853,-0.008707967,,,,,,,,
120,21,9.6,-26.07779016,-0.010728564,,,,,,,,
120,21,9.8,-25.56105931,-0.012085999,,,,,,,,
120,21,10,-25.25554159,-0.012968161,,,,,,,,
120,24,5,-66.72217603,-81.79924385,,,,,,,,
120,24,5.2,-66.24230088,-75.62599267,,,,,,,,
120,24,5.4,-65.32556413,-68.62809998,,,,,,,,
120,24,5.6,-63.65937246,-60.52070622,,,,,,,,
120,24,5.8,-60.59118698,-50.77575307,,,,,,,,
120,24,6,-54.37185306,-38.15952689,,,,,,,,
120,24,6.2,-35.56232866,-17.22840229,,,,,,,,
120,24,6.4,-34.29182432,-0.001616898,,,,,,,,
120,24,6.6,-44.59512374,-0.000150758,,,,,,,,
120,24,6.8,-40.91298059,-0.000351969,,,,,,,,
120,24,7,-38.74219973,-0.000580221,,,,,,,,
120,24,7.2,-37.24763845,-0.00081858,,,,,,,,
120,24,7.4,-35.64747353,-0.001183303,,,,,,,,
120,24,7.6,-33.88580111,-0.001775387,,,,,,,,
120,24,7.8,-32.26456684,-0.002579031,,,,,,,,
120,24,8,-30.99347583,-0.003456285,,,,,,,,
120,24,8.2,-30.11105545,-0.004235362,,,,,,,,
120,24,8.4,-29.54714876,-0.004822926,,,,,,,,
120,24,8.6,-29.16790494,-0.005263286,,,,,,,,
120,24,8.8,-28.81171003,-0.005713457,,,,,,,,
120,24,9,-28.34686874,-0.006359389,,,,,,,,
120,24,9.2,-27.73186425,-0.007327642,,,,,,,,
120,24,9.4,-27.01751121,-0.008639032,,,,,,,,
120,24,9.6,-26.28773345,-0.010221672,,,,,,,,
120,24,9.8,-25.60193534,-0.011972622,,,,,,,,
120,24,10,-24.97250601,-0.013842855,,,,,,,,
120,27,5,-65.96265953,-52.77415727,,,,,,,,
120,27,5.2,-61.89324933,-42.57742992,,,,,,,,
120,27,5.4,-53.1656211,-28.33436683,,,,,,,,
120,27,5.6,-29.85910064,-0.004488473,,,,,,,,
120,27,5.8,-44.24935634,-0.000163251,,,,,,,,
120,27,6,-46.05279121,-0.000107773,,,,,,,,
120,27,6.2,-44.75892619,-0.000145177,,,,,,,,
120,27,6.4,-44.27036231,-0.000162464,,,,,,,,
120,27,6.6,-45.05180379,-0.00013571,,,,,,,,
120,27,6.8,-47.18830458,-8.30E-05,,,,,,,,
120,27,7,-50.96172129,-3.48E-05,,,,,,,,
120,27,7.2,-56.51563756,-9.69E-06,,,,,,,,
120,27,7.4,-56.15451142,-1.05E-05,,,,,,,,
120,27,7.6,-50.79627082,-3.62E-05,,,,,,,,
120,27,7.8,-46.5986004,-9.50E-05,,,,,,,,
120,27,8,-43.04312977,-0.000215517,,,,,,,,
120,27,8.2,-39.8146991,-0.000453249,,,,,,,,
120,27,8.4,-36.8581496,-0.000895394,,,,,,,,
120,27,8.6,-34.18797427,-0.001656036,,,,,,,,
120,27,8.8,-31.81947914,-0.002857454,,,,,,,,
120,27,9,-29.75572661,-0.00459665,,,,,,,,
120,27,9.2,-27.99083276,-0.006903131,,,,,,,,
120,27,9.4,-26.51558096,-0.009698645,,,,,,,,
120,27,9.6,-25.3217846,-0.01277157,,,,,,,,
120,27,9.8,-24.4050717,-0.015778504,,,,,,,,
120,27,10,-23.76652879,-0.018282907,,,,,,,,
140,15,5,-47.62260467,-215.6048311,,,,,,,,
140,15,5.2,-47.73524962,-212.5641387,,,,,,,,
140,15,5.4,-47.84940156,-209.3612394,,,,,,,,
140,15,5.6,-47.96416008,-205.9890216,,,,,,,,
140,15,5.8,-48.07839697,-202.4395047,,,,,,,,
140,15,6,-48.19069764,-198.7036953,,,,,,,,
140,15,6.2,-48.29928644,-194.7714105,,,,,,,,
140,15,6.4,-48.40193136,-190.6310585,,,,,,,,
140,15,6.6,-48.49582208,-186.2693631,,,,,,,,
140,15,6.8,-48.57741385,-181.6710141,,,,,,,,
140,15,7,-48.64222765,-176.818216,,,,,,,,
140,15,7.2,-48.68459465,-171.6900989,,,,,,,,
140,15,7.4,-48.69733048,-166.2619341,,,,,,,,
140,15,7.6,-48.67132174,-160.5040696,,,,,,,,
140,15,7.8,-48.59500403,-154.3804527,,,,,,,,
140,15,8,-48.45370694,-147.8465243,,,,,,,,
140,15,8.2,-48.22883425,-140.8461228,,,,,,,,
140,15,8.4,-47.89683055,-133.3067597,,,,,,,,
140,15,8.6,-47.42783792,-125.1320765,,,,,,,,
140,15,8.8,-46.78381448,-116.1890977,,,,,,,,
140,15,9,-45.91552936,-106.2850665,,,,,,,,
140,15,9.2,-44.75689592,-95.12102918,,,,,,,,
140,15,9.4,-43.21272813,-82.18495376,,,,,,,,
140,15,9.6,-41.13536958,-66.44552204,,,,,,,,
140,15,9.8,-38.56551494,-45.01627347,,,,,,,,
140,15,10,-1.345223949,-5.745161287,,,,,,,,
140,18,5,-57.07836639,-168.3413823,,,,,,,,
140,18,5.2,-57.09988317,-164.3907643,,,,,,,,
140,18,5.4,-57.09969502,-160.1843844,,,,,,,,
140,18,5.6,-57.0715248,-155.7019105,,,,,,,,
140,18,5.8,-57.00751955,-150.9191821,,,,,,,,
140,18,6,-56.89781007,-145.8071418,,,,,,,,
140,18,6.2,-56.72993537,-140.3303434,,,,,,,,
140,18,6.4,-56.48808547,-134.4448122,,,,,,,,
140,18,6.6,-56.15209463,-128.0948782,,,,,,,,
140,18,6.8,-55.69607945,-121.2082998,,,,,,,,
140,18,7,-55.08654731,-113.6883972,,,,,,,,
140,18,7.2,-54.27968217,-105.400578,,,,,,,,
140,18,7.4,-53.21740599,-96.14741604,,,,,,,,
140,18,7.6,-51.82253085,-85.61748759,,,,,,,,
140,18,7.8,-50.00263182,-73.26323553,,,,,,,,
140,18,8,-47.78726401,-57.92910542,,,,,,,,
140,18,8.2,-50.16582177,-35.98005069,,,,,,,,
140,18,8.4,-14.03915169,-0.174815772,,,,,,,,
140,18,8.6,-19.39442361,-0.050216955,,,,,,,,
140,18,8.8,-18.55463346,-0.061005313,,,,,,,,
140,18,9,-18.45944839,-0.06236689,,,,,,,,
140,18,9.2,-18.72122756,-0.058693897,,,,,,,,
140,18,9.4,-18.4912227,-0.061909004,,,,,,,,
140,18,9.6,-17.21989696,-0.08316609,,,,,,,,
140,18,9.8,-15.4528819,-0.125532925,,,,,,,,
140,18,10,-13.89866251,-0.180684528,,,,,,,,
140,21,5,-68.09627679,-129.9642145,,,,,,,,
140,21,5.2,-67.90485016,-124.7514523,,,,,,,,
140,21,5.4,-67.61017727,-119.096102,,,,,,,,
140,21,5.6,-67.17419139,-112.9321553,,,,,,,,
140,21,5.8,-66.54156814,-106.1715873,,,,,,,,
140,21,6,-65.62896862,-98.69245534,,,,,,,,
140,21,6.2,-64.30488064,-90.31710009,,,,,,,,
140,21,6.4,-62.34790395,-80.76798921,,,,,,,,
140,21,6.6,-59.34594618,-69.56438879,,,,,,,,
140,21,6.8,-54.3787355,-55.71830175,,,,,,,,
140,21,7,-44.29365271,-36.32648749,,,,,,,,
140,21,7.2,-26.8390334,-0.009001834,,,,,,,,
140,21,7.4,-34.30691809,-0.001611288,,,,,,,,
140,21,7.6,-45.64024311,-0.000118513,,,,,,,,
140,21,7.8,-52.41955285,-2.49E-05,,,,,,,,
140,21,8,-53.33131149,-2.02E-05,,,,,,,,
140,21,8.2,-42.93429646,-0.000220986,,,,,,,,
140,21,8.4,-40.74824896,-0.000365576,,,,,,,,
140,21,8.6,-42.56577043,-0.000240558,,,,,,,,
140,21,8.8,-45.63190907,-0.000118741,,,,,,,,
140,21,9,-40.14006348,-0.000420532,,,,,,,,
140,21,9.2,-35.50281828,-0.001223386,,,,,,,,
140,21,9.4,-32.90154272,-0.002227109,,,,,,,,
140,21,9.6,-31.47619089,-0.003092572,,,,,,,,
140,21,9.8,-30.68735512,-0.003708807,,,,,,,,
140,21,10,-30.17087256,-0.004177399,,,,,,,,
140,24,5,-65.49726673,-95.46839683,,,,,,,,
140,24,5.2,-64.84756715,-88.2655874,,,,,,,,
140,24,5.4,-63.73201757,-80.1021157,,,,,,,,
140,24,5.6,-61.84040347,-70.64653243,,,,,,,,
140,24,5.8,-58.52739904,-59.28476606,,,,,,,,
140,24,6,-52.10514795,-44.58392207,,,,,,,,
140,24,6.2,-33.55400782,-20.25615213,,,,,,,,
140,24,6.4,-42.13428167,-0.000265686,,,,,,,,
140,24,6.6,-34.93747401,-0.001393499,,,,,,,,
140,24,6.8,-35.07191575,-0.001351015,,,,,,,,
140,24,7,-35.75850978,-0.001153429,,,,,,,,
140,24,7.2,-36.07038706,-0.001073493,,,,,,,,
140,24,7.4,-35.18608227,-0.001315958,,,,,,,,
140,24,7.6,-33.25552582,-0.002052742,,,,,,,,
140,24,7.8,-31.2548479,-0.003254335,,,,,,,,
140,24,8,-29.72523278,-0.004629056,,,,,,,,
140,24,8.2,-28.82289707,-0.005698749,,,,,,,,
140,24,8.4,-28.59194524,-0.006010219,,,,,,,,
140,24,8.6,-29.04854822,-0.005410034,,,,,,,,
140,24,8.8,-30.16463641,-0.004183404,,,,,,,,
140,24,9,-31.79329797,-0.002874738,,,,,,,,
140,24,9.2,-33.63653784,-0.001880289,,,,,,,,
140,24,9.4,-35.49281502,-0.001226208,,,,,,,,
140,24,9.6,-36.89937837,-0.000886933,,,,,,,,
140,24,9.8,-34.85057456,-0.001421667,,,,,,,,
140,24,10,-30.18366831,-0.004165103,,,,,,,,
140,27,5,-64.63925233,-61.53162468,,,,,,,,
140,27,5.2,-61.38182738,-49.63108311,,,,,,,,
140,27,5.4,-53.6630916,-32.99888397,,,,,,,,
140,27,5.6,-33.21526972,-0.002071862,,,,,,,,
140,27,5.8,-45.04215099,-0.000136012,,,,,,,,
140,27,6,-43.56309983,-0.000191198,,,,,,,,
140,27,6.2,-43.26002703,-0.000205018,,,,,,,,
140,27,6.4,-44.52426378,-0.000153238,,,,,,,,
140,27,6.6,-48.29060854,-6.44E-05,,,,,,,,
140,27,6.8,-54.31903423,-1.61E-05,,,,,,,,
140,27,7,-49.16423466,-5.26E-05,,,,,,,,
140,27,7.2,-44.3025838,-0.000161263,,,,,,,,
140,27,7.4,-41.62701966,-0.000298605,,,,,,,,
140,27,7.6,-40.12909676,-0.000421595,,,,,,,,
140,27,7.8,-39.39437742,-0.000499311,,,,,,,,
140,27,8,-39.28919144,-0.000511553,,,,,,,,
140,27,8.2,-39.84991835,-0.000449588,,,,,,,,
140,27,8.4,-41.2768575,-0.000323679,,,,,,,,
140,27,8.6,-44.12516506,-0.000167987,,,,,,,,
140,27,8.8,-50.5490301,-3.83E-05,,,,,,,,
140,27,9,-59.00468521,-5.46E-06,,,,,,,,
140,27,9.2,-45.12229262,-0.000133525,,,,,,,,
140,27,9.4,-40.10902375,-0.000423548,,,,,,,,
140,27,9.6,-37.59823737,-0.000755089,,,,,,,,
140,27,9.8,-36.75981511,-0.000915901,,,,,,,,
140,27,10,-37.53144971,-0.000766792,,,,,,,,
