Length,Width,Freq [GHz],S11,S21,,,,,,,,
60,27,5.2,-63.1538319,-21.25425438,,,,,,,,
60,27,5.4,-57.86197917,-14.10686592,,,,,,,,
60,27,5.6,-45.29550574,-0.000128304,,,,,,,,
60,27,5.8,-66.01722792,-1.09E-06,,,,,,,,
60,27,6,-64.95440794,-1.39E-06,,,,,,,,
60,27,6.2,-60.28713169,-4.07E-06,,,,,,,,
60,27,6.4,-58.58335748,-6.02E-06,,,,,,,,
60,27,6.6,-57.56218094,-7.61E-06,,,,,,,,
60,27,6.8,-56.72556236,-9.23E-06,,,,,,,,
60,27,7,-55.95170893,-1.10E-05,,,,,,,,
60,27,7.2,-55.24182238,-1.30E-05,,,,,,,,
60,27,7.4,-54.63738725,-1.49E-05,,,,,,,,
60,27,7.6,-54.19154312,-1.65E-05,,,,,,,,
60,27,7.8,-53.96504455,-1.74E-05,,,,,,,,
60,27,8,-54.03543496,-1.71E-05,,,,,,,,
60,27,8.2,-54.51707954,-1.53E-05,,,,,,,,
60,27,8.4,-55.5966545,-1.20E-05,,,,,,,,
60,27,8.6,-57.57519755,-7.59E-06,,,,,,,,
60,27,8.8,-60.50247429,-3.87E-06,,,,,,,,
60,27,9,-60.33786099,-4.02E-06,,,,,,,,
60,27,9.2,-55.20757681,-1.31E-05,,,,,,,,
60,27,9.4,-50.59973157,-3.78E-05,,,,,,,,
60,27,9.6,-47.0437013,-8.58E-05,,,,,,,,
60,27,9.8,-44.23698656,-0.000163717,,,,,,,,
60,27,10,-41.97962032,-0.000275319,,,,,,,,
80,15,5,-76.86219372,-126.038769,,,,,,,,
80,15,5.2,-76.94022595,-124.3087417,,,,,,,,
80,15,5.4,-77.01703057,-122.4850266,,,,,,,,
80,15,5.6,-77.09169605,-120.5633807,,,,,,,,
80,15,5.8,-77.16315003,-118.5390507,,,,,,,,
80,15,6,-77.23012446,-116.4066903,,,,,,,,
80,15,6.2,-77.29111066,-114.1602576,,,,,,,,
80,15,6.4,-77.34430069,-111.7928893,,,,,,,,
80,15,6.6,-77.38750955,-109.2967419,,,,,,,,
80,15,6.8,-77.41807021,-106.6627907,,,,,,,,
80,15,7,-77.43268925,-103.8805721,,,,,,,,
80,15,7.2,-77.42724435,-100.9378466,,,,,,,,
80,15,7.4,-77.39649418,-97.82015198,,,,,,,,
80,15,7.6,-77.33365301,-94.51019909,,,,,,,,
80,15,7.8,-77.22975115,-90.98703606,,,,,,,,
80,15,8,-77.07264689,-87.22486194,,,,,,,,
80,15,8.2,-76.84545289,-83.19129132,,,,,,,,
80,15,8.4,-76.52394283,-78.84472171,,,,,,,,
80,15,8.6,-76.07210512,-74.13016047,,,,,,,,
80,15,8.8,-75.43415246,-68.9722379,,,,,,,,
80,15,9,-74.51929392,-63.26266117,,,,,,,,
80,15,9.2,-73.17034472,-56.83548765,,,,,,,,
80,15,9.4,-71.0910418,-49.41156756,,,,,,,,
80,15,9.6,-67.64086276,-40.44581766,,,,,,,,
80,15,9.8,-60.96334515,-28.51956404,,,,,,,,
80,15,10,-29.51299839,-0.004861021,,,,,,,,
80,18,5,-75.28806305,-97.00016887,,,,,,,,
80,18,5.2,-75.32950564,-94.74269831,,,,,,,,
80,18,5.4,-75.35592146,-92.33831847,,,,,,,,
80,18,5.6,-75.36252195,-89.77523961,,,,,,,,
80,18,5.8,-75.34317199,-87.03945784,,,,,,,,
80,18,6,-75.28990523,-84.11414017,,,,,,,,
80,18,6.2,-75.19221057,-80.97876724,,,,,,,,
80,18,6.4,-75.03594956,-77.60790552,,,,,,,,
80,18,6.6,-74.80165469,-73.96939152,,,,,,,,
80,18,6.8,-74.46174233,-70.02154102,,,,,,,,
80,18,7,-73.97571832,-65.70865296,,,,,,,,
80,18,7.2,-73.28142326,-60.95332548,,,,,,,,
80,18,7.4,-72.27779205,-55.64228036,,,,,,,,
80,18,7.6,-70.78728974,-49.59736436,,,,,,,,
80,18,7.8,-68.4610442,-42.50669171,,,,,,,,
80,18,8,-64.47231285,-33.71690956,,,,,,,,
80,18,8.2,-55.82674365,-21.2117526,,,,,,,,
80,18,8.4,-42.26130444,-0.000258028,,,,,,,,
80,18,8.6,-57.06302157,-8.54E-06,,,,,,,,
80,18,8.8,-69.95899742,-4.38E-07,,,,,,,,
80,18,9,-68.06438973,-6.78E-07,,,,,,,,
80,18,9.2,-65.24376212,-1.30E-06,,,,,,,,
80,18,9.4,-64.24656379,-1.63E-06,,,,,,,,
80,18,9.6,-64.48133146,-1.55E-06,,,,,,,,
80,18,9.8,-65.82785077,-1.14E-06,,,,,,,,
80,18,10,-67.62311719,-7.51E-07,,,,,,,,
80,21,5,-82.24666343,-74.1908499,,,,,,,,
80,21,5.2,-82.46526103,-71.21482605,,,,,,,,
80,21,5.4,-82.6931942,-67.98425516,,,,,,,,
80,21,5.6,-82.92971863,-64.46088476,,,,,,,,
80,21,5.8,-83.17239181,-60.59366782,,,,,,,,
80,21,6,-83.41415075,-56.31181696,,,,,,,,
80,21,6.2,-83.63489856,-51.51204886,,,,,,,,
80,21,6.4,-83.77494112,-46.03265182,,,,,,,,
80,21,6.6,-83.6395125,-39.59246695,,,,,,,,
80,21,6.8,-82.49050948,-31.60961213,,,,,,,,
80,21,7,-76.78115648,-20.34253374,,,,,,,,
80,21,7.2,-60.94760614,-3.49E-06,,,,,,,,
80,21,7.4,-75.68884814,-1.17E-07,,,,,,,,
80,21,7.6,-67.82549345,-7.17E-07,,,,,,,,
80,21,7.8,-65.71452903,-1.17E-06,,,,,,,,
80,21,8,-65.24633487,-1.30E-06,,,,,,,,
80,21,8.2,-65.3467558,-1.27E-06,,,,,,,,
80,21,8.4,-65.47688371,-1.23E-06,,,,,,,,
80,21,8.6,-65.46301757,-1.23E-06,,,,,,,,
80,21,8.8,-65.42107994,-1.25E-06,,,,,,,,
80,21,9,-65.55321351,-1.21E-06,,,,,,,,
80,21,9.2,-66.02199666,-1.09E-06,,,,,,,,
80,21,9.4,-66.95074332,-8.76E-07,,,,,,,,
80,21,9.6,-68.47670803,-6.17E-07,,,,,,,,
80,21,9.8,-70.84711785,-3.57E-07,,,,,,,,
80,21,10,-74.69529017,-1.47E-07,,,,,,,,
80,24,5,-75.28935003,-54.49666978,,,,,,,,
80,24,5.2,-74.67783028,-50.37310208,,,,,,,,
80,24,5.4,-73.79385949,-45.69527977,,,,,,,,
80,24,5.6,-72.48814732,-40.2705428,,,,,,,,
80,24,5.8,-70.45098144,-33.74056735,,,,,,,,
80,24,6,-66.82456932,-25.26240614,,,,,,,,
80,24,6.2,-56.08585403,-11.00044595,,,,,,,,
80,24,6.4,-61.52249587,-3.06E-06,,,,,,,,
80,24,6.6,-64.96801278,-1.38E-06,,,,,,,,
80,24,6.8,-70.7543934,-3.65E-07,,,,,,,,
80,24,7,-66.94357812,-8.78E-07,,,,,,,,
80,24,7.2,-63.99473619,-1.73E-06,,,,,,,,
80,24,7.4,-62.9060213,-2.22E-06,,,,,,,,
80,24,7.6,-62.50057948,-2.44E-06,,,,,,,,
80,24,7.8,-62.03414919,-2.72E-06,,,,,,,,
80,24,8,-61.25607331,-3.25E-06,,,,,,,,
80,24,8.2,-60.33807883,-4.02E-06,,,,,,,,
80,24,8.4,-59.51161714,-4.86E-06,,,,,,,,
80,24,8.6,-58.89102911,-5.61E-06,,,,,,,,
80,24,8.8,-58.5095639,-6.12E-06,,,,,,,,
80,24,9,-58.38726696,-6.30E-06,,,,,,,,
80,24,9.2,-58.57045879,-6.04E-06,,,,,,,,
80,24,9.4,-59.13895647,-5.30E-06,,,,,,,,
80,24,9.6,-60.16800468,-4.18E-06,,,,,,,,
80,24,9.8,-61.5374662,-3.05E-06,,,,,,,,
80,24,10,-62.3169904,-2.55E-06,,,,,,,,
80,27,5,-87.28806891,-35.13918682,,,,,,,,
80,27,5.2,-85.55026473,-28.3213423,,,,,,,,
80,27,5.4,-81.02171481,-18.77418052,,,,,,,,
80,27,5.6,-71.25817366,-3.25E-07,,,,,,,,
80,27,5.8,-80.54725687,-3.83E-08,,,,,,,,
80,27,6,-77.22123847,-8.23E-08,,,,,,,,
80,27,6.2,-76.5636109,-9.58E-08,,,,,,,,
80,27,6.4,-76.14833641,-1.05E-07,,,,,,,,
80,27,6.6,-75.90809847,-1.11E-07,,,,,,,,
80,27,6.8,-75.99582399,-1.09E-07,,,,,,,,
80,27,7,-76.45858865,-9.82E-08,,,,,,,,
80,27,7.2,-77.09652864,-8.47E-08,,,,,,,,
80,27,7.4,-77.23722788,-8.20E-08,,,,,,,,
80,27,7.6,-76.0990863,-1.07E-07,,,,,,,,
80,27,7.8,-73.98402084,-1.74E-07,,,,,,,,
80,27,8,-71.74610845,-2.91E-07,,,,,,,,
80,27,8.2,-69.81734852,-4.53E-07,,,,,,,,
80,27,8.4,-68.31033889,-6.41E-07,,,,,,,,
80,27,8.6,-67.24104873,-8.20E-07,,,,,,,,
80,27,8.8,-66.61521192,-9.47E-07,,,,,,,,
80,27,9,-66.45604507,-9.82E-07,,,,,,,,
80,27,9.2,-66.81750754,-9.04E-07,,,,,,,,
80,27,9.4,-67.79529874,-7.21E-07,,,,,,,,
80,27,9.6,-69.51123181,-4.86E-07,,,,,,,,
80,27,9.8,-71.81668429,-2.86E-07,,,,,,,,
80,27,10,-72.69773491,-2.33E-07,,,,,,,,
100,15,5,-52.21824042,-155.9604456,,,,,,,,
100,15,5.2,-52.37477411,-153.7953968,,,,,,,,
100,15,5.4,-52.53591216,-151.5138583,,,,,,,,
100,15,5.6,-52.70107558,-149.1106486,,,,,,,,
100,15,5.8,-52.86953569,-146.5799621,,,,,,,,
100,15,6,-53.04037957,-143.915267,,,,,,,,
100,15,6.2,-53.21246732,-141.1091796,,,,,,,,
100,15,6.4,-53.38437881,-138.1533083,,,,,,,,
100,15,6.6,-53.55434711,-135.0380587,,,,,,,,
100,15,6.8,-53.72017428,-131.752385,,,,,,,,
100,15,7,-53.87912392,-128.2834718,,,,,,,,
100,15,7.2,-54.02778192,-124.6163175,,,,,,,,
100,15,7.4,-54.16187223,-120.7331817,,,,,,,,
100,15,7.6,-54.27600685,-116.6128372,,,,,,,,
100,15,7.8,-54.36333437,-112.2295343,,,,,,,,
100,15,8,-54.41502483,-107.5515292,,,,,,,,
100,15,8.2,-54.41947533,-102.5389295,,,,,,,,
100,15,8.4,-54.36101346,-97.14042112,,,,,,,,
100,15,8.6,-54.2176465,-91.28807259,,,,,,,,
100,15,8.8,-53.95689389,-84.88861973,,,,,,,,
100,15,9,-53.52753196,-77.80778014,,,,,,,,
100,15,9.2,-52.84204026,-69.8392429,,,,,,,,
100,15,9.4,-51.73648314,-60.63468244,,,,,,,,
100,15,9.6,-49.87514073,-49.50997852,,,,,,,,
100,15,9.8,-46.65002453,-34.66254199,,,,,,,,
100,15,10,-11.45926681,-0.32200176,,,,,,,,
100,18,5,-60.77319925,-121.0168002,,,,,,,,
100,18,5.2,-60.65931451,-118.203503,,,,,,,,
100,18,5.4,-60.51965834,-115.2063764,,,,,,,,
100,18,5.6,-60.34973164,-112.0108087,,,,,,,,
100,18,5.8,-60.14408512,-108.5994746,,,,,,,,
100,18,6,-59.89597608,-104.951581,,,,,,,,
100,18,6.2,-59.59683657,-101.0418138,,,,,,,,
100,18,6.4,-59.23542131,-96.83883152,,,,,,,,
100,18,6.6,-58.79639354,-92.30303719,,,,,,,,
100,18,6.8,-58.25788562,-87.38315734,,,,,,,,
100,18,7,-57.58710453,-82.01073615,,,,,,,,
100,18,7.2,-56.73200479,-76.09074047,,,,,,,,
100,18,7.4,-55.60449882,-69.4842655,,,,,,,,
100,18,7.6,-54.04368968,-61.97326707,,,,,,,,
100,18,7.8,-51.72450509,-53.17722404,,,,,,,,
100,18,8,-47.86967492,-42.30386046,,,,,,,,
100,18,8.2,-39.62049609,-26.94958522,,,,,,,,
100,18,8.4,-27.44931566,-0.007820666,,,,,,,,
100,18,8.6,-32.67486716,-0.002346469,,,,,,,,
